E:\coinbase>python main.py
2025-12-30 18:43:27.243717+00:00 Connection Opened!
2025-12-30 21:01:56.021817+00:00 SELL:MON-USDC:13291@0.02202 => BUY:MON-USDC:13291@0.02195
2025-12-30 21:01:56.209570+00:00 SELL:MON-USDC:13291@0.02202 => BUY:MON-USDC:13291@0.02195
2025-12-30 21:01:56.364157+00:00 SELL:MON-USDC:13291@0.02202 => BUY:MON-USDC:13291@0.02195
2025-12-30 21:01:58.920988+00:00 SELL:MON-USDC:13291@0.02203 => BUY:MON-USDC:13291@0.02196
2025-12-30 21:01:59.077869+00:00 SELL:MON-USDC:13291@0.02203 => BUY:MON-USDC:13291@0.02196
2025-12-30 21:01:59.234315+00:00 SELL:MON-USDC:13291@0.02203 => BUY:MON-USDC:13291@0.02196
2025-12-30 21:02:11.028716+00:00 SELL:MON-USDC:13291@0.02204 => BUY:MON-USDC:13291@0.02197
2025-12-30 21:02:11.196459+00:00 SELL:MON-USDC:13291@0.02204 => BUY:MON-USDC:13291@0.02197
2025-12-30 21:02:11.349207+00:00 SELL:MON-USDC:13291@0.02204 => BUY:MON-USDC:13291@0.02197
2025-12-30 21:02:12.662783+00:00 SELL:MON-USDC:13291@0.02205 => BUY:MON-USDC:13291@0.02198
2025-12-30 21:02:12.824152+00:00 SELL:MON-USDC:13291@0.02205 => BUY:MON-USDC:13291@0.02198
2025-12-30 21:02:21.925481+00:00 SELL:MON-USDC:13291@0.02206 => BUY:MON-USDC:13291@0.02199
2025-12-30 21:02:29.945242+00:00 SELL:MON-USDC:13291@0.02207 => BUY:MON-USDC:13291@0.02200
2025-12-30 21:02:42.666362+00:00 SELL:MON-USDC:13291@0.02208 => BUY:MON-USDC:13291@0.02201
2025-12-30 21:02:42.824576+00:00 SELL:MON-USDC:13291@0.02208 => BUY:MON-USDC:13291@0.02201
2025-12-30 21:02:58.952176+00:00 SELL:MON-USDC:13291@0.02209 => BUY:MON-USDC:13291@0.02202
2025-12-30 21:02:59.108599+00:00 SELL:MON-USDC:13291@0.02209 => BUY:MON-USDC:13291@0.02202
2025-12-30 21:02:59.260469+00:00 SELL:MON-USDC:13291@0.0221 => BUY:MON-USDC:13291@0.02203
2025-12-30 21:04:34.656497+00:00 SELL:MON-USDC:13291@0.02211 => BUY:MON-USDC:13291@0.02204
2025-12-30 21:04:34.908654+00:00 SELL:MON-USDC:13291@0.02211 => BUY:MON-USDC:13291@0.02204
2025-12-30 21:04:35.058018+00:00 SELL:MON-USDC:13291@0.0221 => BUY:MON-USDC:13291@0.02203
2025-12-30 21:07:00.755117+00:00 BUY:MON-USDC:13291@0.02204 => SELL:MON-USDC:13291@0.02226
2025-12-30 21:07:00.917570+00:00 BUY:MON-USDC:13291@0.02203 => SELL:MON-USDC:13291@0.02225
2025-12-30 21:07:01.083717+00:00 BUY:MON-USDC:13291@0.02204 => SELL:MON-USDC:13291@0.02226
2025-12-30 21:07:01.235409+00:00 BUY:MON-USDC:13291@0.02203 => SELL:MON-USDC:13291@0.02225
2025-12-30 21:07:01.399762+00:00 BUY:MON-USDC:13291@0.02202 => SELL:MON-USDC:13291@0.02224
2025-12-30 21:07:01.550612+00:00 BUY:MON-USDC:13291@0.02202 => SELL:MON-USDC:13291@0.02224
2025-12-30 21:07:01.726860+00:00 BUY:MON-USDC:13291@0.02201 => SELL:MON-USDC:13291@0.02223
2025-12-30 21:07:01.889278+00:00 BUY:MON-USDC:13291@0.02201 => SELL:MON-USDC:13291@0.02223
2025-12-30 21:07:02.070419+00:00 BUY:MON-USDC:13291@0.022 => SELL:MON-USDC:13291@0.02222
2025-12-30 21:07:25.902931+00:00 BUY:MON-USDC:13291@0.02199 => SELL:MON-USDC:13291@0.02221
2025-12-30 21:15:36.907768+00:00 SELL:MON-USDC:13291@0.02212 => BUY:MON-USDC:13291@0.02205
2025-12-30 21:15:37.069002+00:00 SELL:MON-USDC:13291@0.02212 => BUY:MON-USDC:13291@0.02205
2025-12-30 21:15:38.898581+00:00 SELL:MON-USDC:13291@0.02213 => BUY:MON-USDC:13291@0.02206
2025-12-30 21:15:39.145115+00:00 SELL:MON-USDC:13291@0.02214 => BUY:MON-USDC:13291@0.02207
2025-12-30 21:15:39.304677+00:00 SELL:MON-USDC:13291@0.02213 => BUY:MON-USDC:13291@0.02206
2025-12-30 21:15:39.471281+00:00 SELL:MON-USDC:13291@0.02214 => BUY:MON-USDC:13291@0.02207
2025-12-30 21:19:09.420561+00:00 SELL:MON-USDC:13291@0.02215 => BUY:MON-USDC:13291@0.02208
2025-12-30 21:19:09.596246+00:00 SELL:MON-USDC:13291@0.02215 => BUY:MON-USDC:13291@0.02208
2025-12-30 21:19:09.760481+00:00 SELL:MON-USDC:13291@0.02216 => BUY:MON-USDC:13291@0.02209
2025-12-30 21:19:09.915649+00:00 SELL:MON-USDC:13291@0.02216 => BUY:MON-USDC:13291@0.02209
2025-12-30 21:19:33.631597+00:00 SELL:MON-USDC:13291@0.02218 => BUY:MON-USDC:13291@0.02211
2025-12-30 21:19:33.783936+00:00 SELL:MON-USDC:13291@0.02217 => BUY:MON-USDC:13291@0.02210
2025-12-30 21:19:33.973589+00:00 SELL:MON-USDC:13291@0.02219 => BUY:MON-USDC:13291@0.02212
2025-12-30 21:19:34.148516+00:00 SELL:MON-USDC:13291@0.0222 => BUY:MON-USDC:13291@0.02213
2025-12-30 21:19:44.396535+00:00 SELL:MON-USDC:13291@0.02222 => BUY:MON-USDC:13291@0.02215
2025-12-30 21:19:44.558211+00:00 SELL:MON-USDC:13291@0.02221 => BUY:MON-USDC:13291@0.02214
2025-12-30 21:19:44.722429+00:00 SELL:MON-USDC:13291@0.02221 => BUY:MON-USDC:13291@0.02214
2025-12-30 21:19:44.871398+00:00 SELL:MON-USDC:13291@0.02222 => BUY:MON-USDC:13291@0.02215
2025-12-30 21:20:03.174664+00:00 SELL:MON-USDC:13291@0.02223 => BUY:MON-USDC:13291@0.02216
2025-12-30 21:20:03.446755+00:00 SELL:MON-USDC:13291@0.02223 => BUY:MON-USDC:13291@0.02216
2025-12-30 21:20:06.653248+00:00 SELL:MON-USDC:13291@0.02223 => BUY:MON-USDC:13291@0.02216
2025-12-30 21:20:42.403103+00:00 SELL:MON-USDC:13291@0.02225 => BUY:MON-USDC:13291@0.02218
2025-12-30 21:20:42.579851+00:00 SELL:MON-USDC:13291@0.02224 => BUY:MON-USDC:13291@0.02217
2025-12-30 21:20:42.736100+00:00 SELL:MON-USDC:13291@0.02224 => BUY:MON-USDC:13291@0.02217
2025-12-30 21:20:42.903203+00:00 SELL:MON-USDC:13291@0.02226 => BUY:MON-USDC:13291@0.02219
2025-12-30 21:20:43.054999+00:00 SELL:MON-USDC:13291@0.02225 => BUY:MON-USDC:13291@0.02218
2025-12-30 21:20:43.230081+00:00 SELL:MON-USDC:13291@0.02224 => BUY:MON-USDC:13291@0.02217
2025-12-30 21:20:43.386552+00:00 SELL:MON-USDC:13291@0.02226 => BUY:MON-USDC:13291@0.02219
2025-12-30 21:20:43.560594+00:00 SELL:MON-USDC:13291@0.02225 => BUY:MON-USDC:13291@0.02218
2025-12-30 21:20:43.718588+00:00 SELL:MON-USDC:13291@0.02226 => BUY:MON-USDC:13291@0.02219
